운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
무주군장학재단(무주군청),학자금대출이자지원,지자체,학자금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, - 2017년부터 한국장학재단에서 받은 학자금(등록금) 대출의 20년도 하반기 발생이자 전액지원 * 취업 후 상환학자금 및 일반상환 학자금, - 한국장학재단에서 학자금 대출을 받은 대학생, - 대출 신청 공고일 기준 부 또는 모가 2년 이상 무주군에 주민등록이 되어 있는 대학생. 다만 부모가 모두 사망한 경우 학생 본인을 기준으로 2년 이상 무주군에 주민등록이 되어 있는 대학생, - 2021-05-03 ~ 2021-06-04,기준없음, - O명," - 국가, 다른 지자체, 법인 등 다른 기관으로부터 학자금 이자지원을 받고 있는 사람은 지원 대상에서 제외 - 휴학기간(군복무로 인한 휴학기간은 제외)이 6학기를 초과하지 않은 대학생 - 졸업생과 대학원생 제외",불필요," - 신청서 - 개인정보 수집·이용 및 제공, 동의서 - 주민등록등본(학생과 부모 주소가 다를 때 가족관계증명서) - 재학증명서 "
전라북도 남원시청,대학생학자금대출이자지원,지자체,학자금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, - 2021년 1학기 학자금 대출 이자 발생액,"  - 2016년(1,2학기)부터 한국장학재단에서 학자금(등록금)을 대출 받은 대학 재학생 또는 복학예정자", - 공고일 현재 부모 또는 본인이 남원시에 주민등록 되어 있는 전국 소재 대학 재학생, - 2021-05-03 ~ 2021-06-04,기준없음,약간명," - 휴학생, 졸업생, 대학원생 제외",불필요," - 신청서 - 재학증명서 - 주민등록본 - 개인정보 활용동의서 * 남원시청 홈페이지 접속 후 온라인 신청 혹은 남원시청 4층 교육체육과로 서류 제출, 자세한 사항은 첨부파일 참조"
전라북도 순창군청,학자금대출이자지원,지자체,학자금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, - 2012년 1학기 이후 대출금의 2021년 상반기 발생이자자, - 2012.1.1 이후 한국장학재단에서 학자금 대출을 받고 재학중인 대학생, - 본인 또는 부모 중 한명이 대출신청기준일 기준 순창군에 주민등록되어 있는 대학생, - 2021-05-03 ~ 2021-06-04,기준없음,약간명," - 휴학생, 졸업자, 대학원생 제외",불필요," - 신청서 - 학생, 부 또는 모 중 한명의 주민등록등본 - 학생 기준의 가족관계증명서 (학생과 부모의 주소가 같지 않은 경우 해당자) - 신청인의 재학증명서 - 개인정보 수집·이용 및 제공·조회 동의서 * 자세한 사항은 첨부파일 참고"
전라북도 완주군청,대학생학자금대출이자지원,지자체,학자금,지역연고,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제),제한없음,학점은행제 대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, - 2021년 1월 ~ 6월까지 발생한 이자 전액, - 2015년 이후 한국장학재단을 통해 대출을 받은 취업후·일반상환학자금(등록금)을 지원받은 자 - 대학에 재학중인 학생, - 이자지원 신청일 기준 부모가 2년이상 완주군에 주민등록이 되어 있는 사람(부모 사망시 본인), - 2021-05-03 ~ 2021-06-04,기준없음,약간명," - 다른 기관·재단·단체·개인으로부터 학자금 대출 이자 명목으로 장학금 또는 학자금 대출 이자전액을 지원받고 있는 대학생 - 휴학생, 졸업생, 대학원생 제외",불필요," - 신청서 - 개인정보활용동의서 2부(본인, 부모) - 부 또는 모의 주민등록 초본(5년 이내 주소변동사항 포함)  * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
전라남도 곡성군청,장학금,지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", *신입생 - 정시입학생은 2021학년도 대학수능시험 결과 3등급이상 영역이 2개 이상인 자 - 수시입학생은 고등학교 3학년 성적이 백분율 환산 평균 60점 이상인 자 *재학생 - 직전학년 평균성적 B 학점 이상인자,제한없음," - 성적우수 장학금 : 대학생 2,000,000원", - 국내에 소재하고 있는 대학교에 신입생 또는 재학생, - 곡성군 관내에 부모(친권자)와 학생이 공고일 현재 계속해서 1년이상 곡성군에 주민등록을 두고 있는 군민 * 기숙사에 한해 타 주소 인정, - 2021-03-02 ~ 2021-04-02," - 대학생 성적우수 : 성적평가 70%, 소득평가 30% - 입학생  *정시 - 고등학교 3학년 성적(10%) + 대학수능시험성적(60%) + 소득평가(30%)  *수시 - 고등학교 3학년 성적(70%)+ 소득평가(30%) - 재학생 : 직전 학년 1학기 성적(35%)+ 직전 학년 2학기성적(35%)+ 소득평가(30%)", - 43명," - 타 기관 및 장학재단, 또는 학교에서 장학금을 수령하여 실제 납부해야 할 등록금 총액이 20만원 미만인 대학생(미래인재 제외) - 친권자(부모)가 직장으로부터 학비를 지원 받는 경우 - 장학금 종류별 중복 및 1가정 2인 신청자, 대학원생 - 국가로부터 등록금과 수업료가 면제되거나 전액을 지원받는 육,해,공사관학교, 간호사관학교, 경찰대학", - 읍면장 추천," * 공통제출서류 - 장학생 지원신청 및 추천서  - 주민등록등본 - 가족관계증명서 - 재학증명서 - 등록금(교육비) 납입증명서 - 직장자녀 교육비 미수급 확인서 - 건강보험료 납부 확인서 - 신청인 서약서 - 개인정보 수집 이용 및 제공 조회 동의서 - 통장사본 * 신입생 - 대학수능시험 성적표(정시) - 학교 생활기록부 * 재학생 - 직전학년 성적증명서(1,2학기)  * 자세한 사항은 첨부자료 확인 필수"
전라남도 곡성군청,이장자녀장학생,지자체,장학금,기타,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1,000,000원원", - 이장 자녀 중 대학교에 입학 또는 재학중인 자 , - 곡성군의 이장자녀 , - 2021-02-24 ~ 2021-03-12, - 학업성적 50% + 이장 경력 40% + 이장 상훈 10% * 가산점 항목 : 수급자 여부 / 다자녀 가구, - 10명," * 지급정지 * - 이장에서 해임된 때 - 장학생이 퇴학, 정학 또는 휴학처분을 받았을 때 - 장학생 자격 미달자 - 대학총장 등의 지급 정지 신청이 있는 경우 - 타 장학금과 중복하여 지급 받은 경우 - 기타 군수가 정하는 사유에 해당하게 된 경우  * 선발제외 * - 실제 납부해야 할 등록금 총액이 20만원 미만",불필요, - 장학생신청서 - 재학증명서 - 성적증명서 - 가족관계증명서 - 주민등록등본 - 장학금지급통장사본 - 개인정보 수집이용 및 제공조회 동의서 - 신청인 서약서 - 수급자 여부 증명서류 (해당자)
전라남도 광양시청,학자금대출이자지원,지자체,학자금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, - 2016년 이후 한국장학재단에서 대출받은 학자금의 2018년도 발생한 본인부담 이자, - 한국장학재단에서 2016년 이후 학자금 대출을 받은 대학생 - 휴학생포함, - 공고일 현재 부모와 대상자 모두 광양시에 주민등록이 되어있는 대학생* 예외) 임대주택 세입자 권리확보 등의 이유로 학교 또는 학교 소재지로 전입 신고한 경우 거주조건 제한없음, - 2020-10-05 ~ 2020-11-04,기준없음,약간명, - 한국장학재단 대출자료 추출시 완제 계좌는 지원불가 - 타 지자체와 중복지원 불가 - 대학원생 제외,불필요," - (공통) 신청서, 재학 또는 휴학증명서, 학생 주민등록 등본 - (관외 거주 학생) 부 또는 모 가족관계증명서 및 관련 증빙자료 * 공고일 이후 발급분"
전라남도 해남군청,우수인재대학생,지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 평균학점이 B학점 이상인 자, - 소득을 30% 고려," - 4년제 : 1,500,000원 - 2~3년제 : 1,500,000원", - 해남군 출신 대학생(만 30세 이하)," - 공고일 현재 학생 본인 및 친권자(학부모)의 주민등록이 해남군에 등재되어 있는 사람 - 해남군내 초등학교, 중학교 또는 고등학교를 졸업 * 단, 4년제 대학생의 경우 학생 본인에 한하여 타 지역 주소 인정", - 2017-08-10 ~ 2017-08-29," - 성적 70점, 소득 30점(재산세 15 + 건강보험료 15)", - 40명 , - 실 납입 등록금이 최저 지급금액(30만원)보다 적은 대학생 - 휴학생 - 1가족당 1명만 지급(형제 및 자매 또는 장학금 종류별로 중복 지급할수 없음) - 정규 학제 기간을 초과하여 재학 중인 학생,불필요," - 해남군장학금 신청서, 개인정보 수집 이용 동의서, 신청인 서약서 - 주민등록 등본(본인, 부, 모 거주확인 및 가족관계 확인) - 직전학기(2017년 1학기, 복학생은 휴학 직전학기) 성적증명서 - 지방세 세목별과세증명서(2016년분, 부   모 각 1부씩 모두 제출) - 건강보험료 납부확인서(최근 3개월분, 부   모 각 1부씩 모두 제출) - 당해학기(2017년 2학기) 등록금납입증명서 또는 등록금고지서 -  해남 관내 초·중·고등학교 졸업증명서 중 어느 하나※ 우편 접수: 해남군 읍 면사무소 총무팀 또는 총무과 평생교육기획팀"
전라남도 해남군청,글로벌리더장학생,지자체,장학금,지역연고,해외대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 5,000,000원 (졸업시까지)", - 외국 우수대학에 입학한 자, - 공고일 현재 학생 본인 및 친권자(학부모)의 주민등록이 해남군에 등재되어 있는 사람 - 해남군내 중학교 또는 고등학교를 졸업, - 2017-08-10 ~ 2017-08-29,기준없음, - 1명 , - 실 납입 등록금이 최저 지급금액(30만원)보다 적은 대학생 - 휴학생 - 1가족당 1명만 지급(형제 및 자매 또는 장학금 종류별로 중복 지급할수 없음) - 정규 학제 기간을 초과하여 재학 중인 학생,불필요,"  * 주소지 읍.면사무소로 제출&문의 - 해남군장학금 신청서, 개인정보 수집 이용 동의서, 신청인 서약서 - 주민등록 등본(본인, 부, 모 거주확인 및 가족관계 확인) - 직전학기(2017년 1학기, 복학생은 휴학 직전학기) 성적증명서 - 지방세 세목별과세증명서(2016년분, 부   모 각 1부씩 모두 제출) - 건강보험료 납부확인서(최근 3개월분, 부   모 각 1부씩 모두 제출) - 재학증명서 - 자기소개서(유학사유, 국내환원 내용 등)"
전라남도 함평군청,함평군청인재양성기금(성적우수),지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," * 신입생 - 수능 응시 합격자 : 직전 학년(고3) 전 과목 평균등급 3등급 이내이며, 수능 평균등급 3등급 이내 - 수능 미응시 합격자 : 고등학교 1~3학년 전 과목 평균등급 3등급 이내 * 재학생 - 직전 학년 성적 평균 B+ 이상 - 기초생활수급자의 경우 C+ 이상상",제한없음," - 2,000,000원",제한없음, - 함평군에 주민등록법상 주소를 두고 군내 고등학교 졸업일 기준 3년 이상 계속 거주 및 군내 학교에 재학한 자ㄹ, - 2021-03-12 ~ 2021-03-26, - 성적평가 80% + 재산정도 20% + 가산점 10%, - 24명 (학년별 안배)," - 외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생 - 국가 등으로부터 학비를 지원받는 학교에 재학하는 학생 - 4년간 대학 등록금 전액 면제자 - 정규 학제기간을 초과하여 재학 중인 대학생 - 한국방송통신대, 사이버대, 학점은행제 등 유사대학 재학생 - 올해 지원받은 장학금 총액이 등록금을 초과, 차액이 20만원 미만인사람", - 읍면장 추천," - 인재양성기금 지원 신청서 - 인재양성기금 지원대상자 추천서 - 인재양성기금 신청자 실태조사 확인서 - 주민등록지가 관외인 경우는 주민등록등본, ‘18년도 재산세 납부 증명서(부모 모두), 기초생활수급자 증명서(해당자만) 제출 - ‘19년도 건강보험료 납부영수증(부모 모두) - 건강보험 자격확인서 - 국가유공자 증명서 (해당자만, 본인이 아닌 경우 가족관계 증명 첨부) - 장애인 증명서(해당자만) - 개인정보이용동의서 * 신입생 (재학증명서, 수능성적증명서, 고교 생활기록부) * 재학생 (재학증명서, 성적증명서(수능 미응시자는 교교 생활기록부), `19년도 1/2학기 성적 증명서)"
전라남도 함평군청,함평군청인재양성기금(특기자),지자체,장학금,특기자,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 500,000원"," - 문화,예술,체육,과학,농업분야에 소질과 재능이 뛰어난 자 중  도 단위 이상 공식 대회에서 입상한 경력이 있는 자자", - 공고일 현재 주민등록법상 주소를 함평군에 3년 이상 둔 대학생과 함평군 내 고등학교 재학생, - 2021-03-12 ~ 2021-03-26, - 직전년도 도 단위 이상 공식대회 입상실적 고득점자순, - 8명," - 외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생 - 국가 등으로부터 학비 등을 지원받는 학교에 재학하는 학생 - 4년간 대학 등록금 전액 면제자 - 정규 학제기간을 초과하여 재학 중인 대학생 - 한국방송통신대, 사이버대, 학점은행제 등 유사대학 재학생 * 자세한 사항은 첨부파일 참고"," - 읍면장, 학교장 추천", - 인재양성기금 지원신청서 - 인재양성기금 지원대상자 추천서 - 개인정보이용동의서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고
전라남도,지역중소기업 청년취업 학자금대출 상환지원,지자체,학자금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학8학기이상,연령제한","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음, - 최근3개월 평균 가구소득인정액이 중위소득 150% 이하인 자," - 최대 1,200,000원"," - 전라남도 소재 중소기업에 근무중인 청년으로 학자금대출금(일반, 취업후, 농어촌융자)을 상환하고 있는 자", - 공고일 기준으로 본인의 주민등록상 주소지가 전라남도, - 2021-02-03 ~ 2021-04-09, * 우선순위에 따라 대상자 선정/ 소득액 및 가구원수 고려 - 1순위 : 산업단지 종사자  - 2순위 : 사회적기업 종사자 - 3순위 : 그 외 중소기업 종사자, - 100명," - 국가나 지방자치단체 등으로부터 학자금 대출상환지원을 받는 자 - 군복무자 및 군복무 대체근무자(산업기능요원, 사회복무요원 등)",불필요, - 청년 취업자 학자금대출 상환 지원 신청서 - 주민등록등본 - 가족관계증명서 - 학자금대출 상환 확인서 - 중소기업 확인서 - 중소기업 근무 확인서류 - 통장사본 - 건강보험료 납부확인서 - 건강보험료 자격확인서 - 개인정보 수집·이용 및 제3자 제공 동의서 * 자세한 사항은 첨부파일 참고
전라남도 영광군청,영광군인재육성기금(학업우수),지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 수능 응시자의 경우 수능평균등급이 3등급 이내 수능 미응시자의 경우 고교내신 성적(3학년성적 / 예체능과목 제외) 평균등급이 3등급 이내 또는 검정고시합격자의 경우 평균득점 80점이상 - 재학생 : 직전학년 성적(1,2학기) 평균평점 B학점 이상인 학생",제한없음," - 1인당 3,000,000원 이내"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생", - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2021-04-21 ~ 2021-04-30,기준없음, - 24명," - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 - 가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자", - 읍/면장의 추천, - 인재육성기금 지원신청서 - 개인정보이용 동의서 - 읍/면장 및 학교장 추천서 - 주민등록등본 - 대학수학능력시험성적증명서 또는 고등학교 3학년 성적증명서(수능 미응시자) - 등록금납입증명서(2021-1학기분) - 신청 직전학년 성적증명서 - 재학증명서 * 자세한 사항은 첨부자료 참고
전라남도 영광군청,영광군인재육성기금(옥당골인재),지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음","- 신입생: 대학수학능력시험 응시자 중 국어, 수학, 영어, 탐구영역 등 5개영역 등급의 합이 6이내(탐구영역은 상위 2과목 평균  등급 반영)- 재학생: 옥당골(글로리)인재 장학생으로 선발된 학생중 직전학년 성적 평균 B학점 이상인 학생",제한없음," - 3,000,000원"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 재학생", - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2021-04-21 ~ 2021-04-30, * 대학수학능력시험 성적(100%) , - 6명," - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자", - 읍/면장의 추천," - 인재육성기금 지원신청서 - 개인정보 수집,이용 및 제공,조회 동의서 - 주민등록 등본(거주기간 확인) - 직전학년 성적증명서 - 대학수능성적증명서 - 고등학교 3개년 생활기록부 (수능 미 응시자) - 2021년 1학기 등록금 납입증명서 (장학금 내역포함) - 재학(입학)증명서 * 자세한 사항은 첨부자료 참고"
전라남도 영광군청,영광군인재육성기금(특기자),지자체,장학금,특기자,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","예체능계열,인문계열", - 체육/문예 특기 대회 수상 : 직전학년 중 공공기관에서 개최한 도 단위이상 대회에서 입상한 학생 - 학교를 빛낸 인재 : 직전학년 중 다양한 분야에서 두각을 나타내 영광을 알리는데 앞장선 학생,제한없음," - 3,000,000원"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생", - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2021-04-21 ~ 2021-04-30,기준없음, - 체육특기 : 2명 - 문예특기 : 2명," - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자", - 읍면장," * 공통서류  - 인재육성기금 지원신청서 - 개인정보이용 동의서 - 읍,면장 또는 학교장 추천서 - 주민등록 등본(거주기간 확인) - 공공기관에서 개최한 도 단위 및 전국대회 수상(상장)증서, 경기실적증명서 등 입상증명서 - 추천내용을 확인할 증빙서류 - 자원봉사 실적확인서 * 자세한 사항은 첨부자료 참고"
전라남도 영광군청,영광군인재육성기금(복지장학),지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 재학생 : 직전학년 성적(1,2학기) 평균평점 C학점 이상", - 국민기초생활수급자 또는 차상위 계층 자녀 - 소득인정액 기준 중위소득 70% 이내의 건강보험료를 납부하는 가정," - 3,000,000원",제한없음, - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2021-04-21 ~ 2021-04-30,기준없음, - 6명," - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자",불필요," - 인재육성기금 지원신청서 - 개인정보이용 동의서 - 읍/면장 및 학교장 추천서 - 주민등록등본 - 기초생활수급자증명서, 차상위계층 확인서 - 건강보험료 납부확인서 및 건강보험 자격확인서 각 1부 - 고등학교 졸업증명서 * 자세한 사항은 첨부자료 참고"
전라남도 영광군청,영광군인재육성기금(복지옥당골),지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 대학수학능력시험 응시자 중 국어, 수학, 영어, 탐구영역 등 4개영역 등급의 합이 9이내(탐구영역은 상위 2과목 평균  등급 반영) - 재학생 : 옥당골인재 장학생으로 선발된 학생중 직전학년 성적 평균  B학점 이상인 학생"," - 국민기초생활수급자, 차상위계층 - 재산세(주택.토지.건물포함) 납부(부과)액 30,000원이하 : 2018년도분, 부 모 각각 발급 포함 - 건강 장기요양보험료 월평균 납부(부과)액 50,000원이하 : 2018년년도분, 부 모 각각 발급 포함"," - 3,000,000원"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생",- 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2020-03-31 ~ 2020-05-22 ※코로나19로 인한 개학연기로 인해 선발계획 변경,기준없음, - 대학생 2명," - 당해학기에 타 장학금 2,000천원(전문대 1,500천원)이상 수혜자 - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자"," - 읍,면장 추천"," - 인재육성기금 지원신청서(공통) - 개인정보이용 동의서 - 읍/면장 또는 학교장 추천서 - 주민등록 등본(거주기간 확인) - 직전학년 성적증명서 - 대학수능성적증명서 - 고등학교 3개년 생활기록부(수능 미 응시자) - 2020-1학기 등록금 납입증명서(장학금 내역포함)   - 재학(입학)증명서 - 지방세세목별과세증명서 (부,모 각각발급) - 국민기초생활수급자 또는 차상위계층 확인서 - 건강, 장기 요양보험료 납부확인서 * 자세한 사항은 첨부자료 참고"
전라남도 영광군청,영광군인재육성기금(복지특기자),지자체,장학금,특기자,"4년제(5~6년제포함),기술대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학년 중 체육, 문예 분야의 도단위 및 전국대회 3위 이상 입상한 자 * 체육분야는 국가대표로 선발된 자 포함"," - 국민기초생활수급자, 차상위계층 - 재산세(주택.토지.건물포함) 납부(부과)액 30,000원이하 : 2018년도분, 부 모 각각 발급 포함 - 건강 장기요양보험료 월평균 납부(부과)액 50,000원이하 : 2018년도분, 부 모 각각 발급 포함"," - 3,000,000원"," - 고등교육법 제2조 중 국내의 대학, 산업대학, 교육대학 및 전문대학에서 수학하고 있는 입학생 및 재학생", - 공고일 현재 본인이나 그 보호자(부 또는 모 등)가 영광군에 계속해서 주민등록을 두고 2년 이상 거주하는 자, - 2020-03-31 ~ 2020-05-22 ※코로나19로 인한 개학연기로 인해 선발계획 변경,기준없음, - 2명," - 당해학기에 타 장학금 2,000천원(전문대 1,500천원)이상 수혜자 - 매학기 등록금 총액이 1,000천원 이하인 대학에 재학중인 학생은 제외 -가족당 1명만 지급. 단, 다자녀(3명이상)의 경우 2명까지 지원 확대 - 영광군 인재육성장학금을 2회(단, 전문대 1회, 치대,의대,한의대,약대 등 6년제인 경우는 3회)이상 지원받은 자"," - 읍,면장의 추천"," - 인재육성기금 지원신청서 (공통) - 읍,면장 또는 학교장 추천서 - 주민등록 등본 (거주기간 확인) - 직전학년 성적증명서 - 2020-1학기 등록금 납입확인서(장학금 내역포함) - 재학(입학)증명서 - 지방세세목별과세증명서 - 국민기초생활수급자 또는 차상위계층확인서 - 건강,장기 요양보험료 납부확인서(전년도 1년분, 부,모 각각발급) *  자세한 사항은 첨부파일 참고"
전라남도 영광군청,"원전지역장학(기초수급자,장애인)",지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음," - 국민기초생활수급자, 차상위계층자, 한부모가족, 등록장애인"," - 1,000,000원"," - 고등교육법 제2조 제1호~제6호에 해당하는 학교 중 교육부에서 인가한 대학(교) 재학생 - 국민기초생활수급자, 차상위계층자, 한부모가족, 등록 장애인"," - 공고일 현재 한빛원전주변지역(백수,홍농,법성)에 본인이나 그 보호자(부 또는 모 등)가 주민등록을 두고 1년이상 거주하고 있는 자", - 2021-08-09 ~ 2021-09-01,기준없음,약간명," - 당해 학기 국가 및 지자체에서 수혜 받은 장학금이 등록금(납부금) 이상인 학생 - 대학원생, 외국소재 대학교 재학생 - 1인 1분야 선발원칙",불필요, - 신청서 및 통장사본 - 개인정보 수집·이용 및 제공·조회 동의서 - 주민등록등본(거주지 확인용) - 가족관계증명서(본인과 보호자 세대분리된 경우 : 타지역거주자 명의 가족관계증명서 제출) - 실거주확인서(마을별 이장님 서명확인) - 재학증명서 - 신청 확인서  * 자세한 사항은 첨부파일 참조
